source_domain,category
github.com,community/platform
github.io,community/platform
ycombinator.com,community/platform
webcatalog.io,directory
montecarlodata.com,dev-tooling/data-content
castordoc.com,dev-tooling/data-content
sbookscan.com,directory
getcollate.io,dev-tooling/data-content
statussight.com,directory
getdbt.tech,dev-tooling/data-content
cyberdb.co,directory
blazesql.com,dev-tooling/data-content
cotera.co,dev-tooling/data-content
montecarlo.ai,dev-tooling/data-content
plushcap.com,dev-tooling/data-content
backlinks.sbs,other
padiso.co,dev-tooling/data-content
google.com,other
blogspot.com,other
greenhouse.io,directory
coda.io,dev-tooling/data-content
builtin.com,directory
hightouch.com,dev-tooling/data-content
fivetran.com,dev-tooling/data-content
welcometothejungle.com,directory
rudderstack.com,dev-tooling/data-content
